"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6119A-16_48",1,48,8,1,"test"," (Operator: lizbethpino, Time: )","SM6119A-16","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",4.03472170479102,8.75493629386782,17.7479038,10.6043568,1,NA,37.0607872,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,2,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,0,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6119A-9_54",1,54,9,5,"test"," (Operator: lizbethpino, Time: )","SM6119A-9","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",-0.927164978015659,-0.460714968457246,15.5972071,9.7472677,3,NA,34.5427322,NA,NA,2,100,NA,NA,NA,5,1,NA,NA,5,4,NA,NA,2,3,NA,4,NA,NA,NA,NA,NA,12,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6122A-11_14",1,14,3,2,"test"," (Operator: lizbethpino, Time: )","SM6122A-11","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.63769646517984,12.9216624215692,17.2063656,9.487257,3,NA,35.9608192,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,5
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6142A-14_27",1,27,5,3,"test"," (Operator: lizbethpino, Time: )","SM6142A-14","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3.80516751143528,7.51638026950179,20.2961521,12.2882271,3,NA,41.5521088,NA,NA,2,100,NA,NA,NA,4,1,NA,NA,5,3,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6163A-12_8",1,8,2,5,"test"," (Operator: lizbethpino, Time: )","SM6163A-12","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,19.7098522,12.6333427,3,NA,38.8654099,NA,NA,2,100,NA,NA,NA,2,1,NA,NA,5,5,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,0,5,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6165A-5_21",1,21,4,4,"test"," (Operator: lizbethpino, Time: )","SM6165A-5","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,21.7832184,13.9784784,2,NA,37.4672203,NA,NA,2,40,NA,NA,NA,1,1,NA,NA,5,5,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,4,2,NA,NA,1,4
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6174A-8_31",1,31,6,6,"test"," (Operator: lizbethpino, Time: )","SM6174A-8","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.05554412672289,9.72022217650688,16.0739727,11.4114904,3,NA,39.2572403,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,2,NA,4,NA,NA,NA,NA,NA,1,5,NA,NA,1,8
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6176A-10_53",1,53,9,4,"test"," (Operator: lizbethpino, Time: )","SM6176A-10","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,22.228159,13.731514,5,NA,38.9529266,NA,NA,2,80,NA,NA,NA,1,1,NA,NA,5,4,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,0,4,NA,NA,1,6
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6176A-15_46",1,46,8,3,"test"," (Operator: lizbethpino, Time: )","SM6176A-15","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,15.7754526,12.1461439,3,NA,38.9434395,NA,NA,2,100,NA,NA,NA,1,1,NA,NA,5,5,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,4,5,NA,NA,1,7
2022,"202230BCEPR_ciat","202230BCEPR_ciat",1.2,4,"2022-July-07","2023-May-09","CIAT. Valle, Colombia",NA,"202230BCEPR_ciat_rep1_SM6217A-1_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","SM6217A-1","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",7.48038908064011,18.5189833699404,19.8669777,10.4391384,3,NA,35.8167419,NA,NA,2,100,NA,NA,NA,3,1,NA,NA,5,3,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,0,5,NA,NA,1,4
